脑室外引流术	External Ventricular Drain
结构影像	Structural Imaging
目前使用的最敏感的结构影像模态为MRI，选择合适的影像序列帮助非常大。	The most sensitive structural imaging modality currently used in clinical practice is magnetic resonance (MR) imaging. Proper use of the different imaging sequences is beneficial.
弥散加权成像（DWI）判断脑缺血部位与动脉供血区的关系时具有特殊价值。	Diffusion weighted images (DWI) have a special value in cerebral ischemia for correlating the anatomic distribution of ischemic events with vascular territories.
某一动脉分布区内存在多个缺血灶病因可能是闭塞或狭窄；缺血灶随机分布于不同的血管区最有可能是因为栓塞。	The presence of multiple ischemic foci in a single vascular territory raises suspicion of an occlusive or stenotic etiology, whereas random distribution of ischemic foci along different vascular territories holds a higher suspicion for embolic events.
ACA和MCA、MCA和PCA的分水岭梗死是低灌注的典型表现。	Infarcts at the border zones between the anterior cerebral and middle cerebral arteries as well as middle cerebral and posterior cerebral arteries are characteristic of hypoperfusion phenomenon.
CT排除颅内出血有明显的优势，可以区别急症患者是短暂性脑缺血发作和卒中，还是肿瘤卒中。	In emergency situations, computed tomography (CT) imaging is very valuable for ruling out intracranial hemorrhage, as in patients with transient ischemic attacks and stroke or neoplastic apoplexy.
血管造影	Angiographic Imaging
协助诊断、构建术前计划和术后判断桥血管通畅性时必须行血管造影。	Angiography is required for diagnostic purposes, preoperative planning, and postoperative evaluation of graft patency.
尤其是血管造影可以评估：1）脑血管循环和受血动脉的通畅性；2）颈外动脉系统供血血管的可及性；3）侧支循环的情况，发育良好时可避免搭桥手术；4）预计行吻合的血管管径，即STA的额、顶支和MCA的皮层支。	More specifically, angiography evaluates 1) the patency of the intracranial circulation and recipient vessels; 2) the patency of the external carotid circulation donor vessels; 3) the development of collateral circulation, which if sufficient may eliminate the need for revascularization; and 4) the diameter of the vessels that would be the expected sites of anastomosis, namely the frontal and parietal branches of the STA and the cortical branches of the MCA.
导管造影是血管成像的金标准，但是是有创检查。	Although catheter-based angiography is the gold standard modality for vascular imaging, it is still somewhat invasive.
CTA和MRA等无创模态的空间分辨率有限、近颅骨处有伪影产生，	Noninvasive modalities such as CT and magnetic resonance (MR) angiography have limited spatial resolution and are complicated by the bony artifact near the skull base.
而且他们不能准确提供靶血管的血流信息。	They also do not provide reliable information about the flow within the target vessels.
灌注成像和代谢成像	Perfusion and Metabolic Imaging
灌注成像模态包括PET、氙-CT、CTP、MRP和单光子发射CT等，可以评价脑血管闭塞性疾病中，侧支循环是否能代偿阻塞或狭窄血管的血流。	In cerebrovascular occlusive disease, perfusion imaging determines the success of collateral vasculature in overcoming the ischemic insults of the underlying vascular occlusion or stenosis. These imaging modalities include PET, xenon computed tomography, CT perfusion, MR perfusion and single photon emission CT.
前述关于STA-MCA搭桥的研究因为仅仅以血管造影结果来抉择是否行脑血管重建而饱受诟病，目前，标准已改为依据灌注成像提示的脑灌注压下降后脑缺血的血流储备情况。	As previously mentioned in the above discussion of the STA-MCA bypass trials, the sole use of angiographic findings in patient selection for revascularization surgery has been criticized. It is currently standard practice to use perfusion imaging to determine the status of reserve mechanisms for overcoming cerebral ischemia as a result of the decrease in cerebral perfusion pressure.
有四项特别有价值的参数用来间接评估血流储备情况：1）局部脑血流（rCBF）；2）局部平均通过时间（rMTT）；3）局部脑血液容积（rCBV）；4）局部氧摄取分数（rOEF）。	In order to indirectly assess such reserve mechanisms, four parameters are especially valuable: 1) regional cerebral blood flow (rCBF), 2) regional mean transit time (rMTT), 3) regional cerebral blood volume (rCBV), and 4) regional oxygen extraction fraction (rOEF).
脑灌注压下降后一系列代偿机制随之启动，根据血流动力学受损程度可分为两期。	A scheme of events has been involved in compensatory mechanisms associated with a decrease in cerebral perfusion pressure. This scheme divides the process into two stages of hemodynamic impairment.
第一期即“自笔者调节期”，此时通过动脉扩张依然可以保持正常的rCBF，但是rMTT和rCBV增加。	Stage I, also known as the autoregulatory stage, maintains normal rCBF values by arteriolar vasodilatation, resulting in an increase in regional mean transit time (rMTT) and regional cerebral blood volume (rCBV).
发展到第二期或者称为“血流动力衰竭期”时，自笔者调节能力已经几乎耗尽，只能通过提高rOEF维持脑组织的氧供，	The second stage, or the hemodynamic failure stage, occurs at the point when autoregulatory processes have been mostly exhausted and sustaining oxygen requirements of the parenchyma are achieved by means of an increase in rOEF.
而rOEF上升是导致卒中的独立危险因素。	An increase in rOEF is a significant independent risk factor for stroke.
尽管可能此时rCBF处于正常范围，但卒中风险仍然在增加。	Although rOEF may also increase in a state of normal rCBV, the risk of stroke is still considered increased.
进行基础灌注成像检查的同时应该联合挑战试验。	Not only is standard perfusion imaging valuable in the preoperative evaluation, but challenge tests may also be employed.
首先是乙酰唑胺试验。	The first challenge test is the acetazolamide challenge test.
乙酰唑胺属于血管扩张剂，应用之后，血管自笔者舒张能力已耗竭的患者将出现盗血现象和缺血，而未达最大代偿水平的患者其rCBF可得到改善。	A vasodilatation stimulus, acetazolamide, would cause a steal phenomenon and ischemia among patients with exhausted autoregulatory vasodilatation; this is in contrast to improved rCBF in patients who have not reached maximal compensatory regional vasodilatation.
乙酰唑胺试验有三种结果：	The results of the acetazolamide challenge test have been classified into three types:
增加原本处于正常基线范围的脑血流（CBF）；	Type I patients have normal baseline cerebral blood flow (CBF) that increases after the acetazolamide challenge.
改善原本低CBF脑区的灌注；	Type II patients have areas of decreased CBF on baseline studies that improve after acetazolamide administration.
原本rCBF就低的仍反常性进行性下降。	Type III patients have decreased CBF at baseline and a paradoxic continued reduction in regional CBF after acetazolamide administration.
最后一种患者可以从脑血管重建手术获益最多。	Type III patients are thought to benefit the most from microsurgical revascularization.
第二种挑战试验是球囊阻塞试验（BOT）。	The second challenge test is the balloon occlusion test (BOT).
若孤立动脉瘤或切除肿瘤需要结扎受累血管，术前BOT能够判断侧支循环提供的血流量是否足够，	This test determines whether established collateral circulation can maintain adequate blood flow in case of proximal vessel sacrifice, as in aneurysm entrapment or tumor resection.
但要牢记有许多BOT阴性的患者术后依然会出现脑缺血。	However, despite a successful BOT, a significant proportion of patients develop ischemia postoperatively.
所以无论BOT结果如何，只要术中有牺牲相应血管，最好还是行血管重建。	Thus, revascularization as a standard practice after proximal vessel sacrifice, regardless of BOT results, is preferred.
熟悉颞浅动脉（STA）的解剖对分离其主干及分支完成搭桥手术至关重要。	Understanding the microsurgical anatomy of the STA is a key factor in safe dissection of its branches for bypass procedures.
图1：STA是颈外动脉（ECA）两根终末分支里小的那支。	Figure 1: The STA is the smaller of the two terminal branches of the external carotid artery.
STA起自埋藏于腮腺内的ECA，在下颌颈后方上行，通过颧弓根的外侧，随后分为额、顶两终支。	It originates within the parotid gland and extends superiorly behind the neck of the mandible to pass superficial to the posterior root of the zygomatic process. Above this process, it divides into its two final branches, the frontal and the parietal.
近颧突处，有面神经颞支和许多伴随静脉越过STA。（图片由Al Rhoton, Jr馈赠）	Near the zygomatic process, the temporal branches of the facial nerve and a number of concomitant veins cross over the STA (images courtesy of AL Rhoton, Jr).
耳颞神经伴行于颞浅动脉（STA）全程的后方。	The STA is also related to the auriculotemporal nerve, which runs behind the STA along its course.
STA主干的内径约1.8 ± 0.5mm，其终支为1.4 ± 0.5 mm，	The main trunk of the STA has an inner diameter of about 1.8 ± 0.5 mm, whereas its terminal branches have an inner diameter of about 1.4 ± 0.5 mm.
直接搭桥所需的供血动脉至少为0.9mm。	The minimum diameter of the donor vessel for direct bypass is 0.9mm.
顶支位于颞肌筋膜表浅，常常比额支粗，往头顶及往后走形与耳后动脉、枕动脉，还有对侧的同名血管沟通吻合。	The parietal branch of the STA is commonly the larger of the two terminal branches, and curves cranially and posteriorly to anastomose with the posterior auricular and occipital arteries, as well as the parietal branch of the STA on the opposite side. The parietal branch of the STA runs superficial to the temporalis fascia.
额支则往上、往前，与眶上动脉和额动脉交通。	The frontal branch runs cranially and anteriorly to anastomose with the supraorbital and frontal arteries.
STA-MCA搭桥	STA-MCA REVASCULARIZATION
术者必须具备扎实的显微外科技术。	Familiarity with microsurgical techniques is pertinent in execution of this procedure.
麻醉、监测、准备阶段	Anesthesia, Monitoring and the Initial Steps
脑缺血患者的代偿机制已大部分耗竭，任何明显的血压或通气变化都将导致灾难性的卒中。	Patients with cerebrovascular ischemia have exhausted most of their cerebral reserve. Any marked change in blood pressure or ventilation can lead to devastating ischemic effects.
因此，手术全程应该时时关注有创动脉压、维持正常的血碳酸水平，并留置中心静脉导管。	Accordingly, blood pressure should be tightly controlled with invasive monitoring and normocapnia should be maintained throughout surgery. A central venous catheter is placed.
鉴于这些患者极易暴露于缺血性损伤的危害，推荐临时阻断MCA分支时监测脑电图、运动诱发电位和体感诱发电位，任何电位改变均需立刻采取措施改善相关血压参数。	Electroencephalography (EEG), motor evoked or somatosensory evoked potential monitoring are recommended during temporary MCA branch clipping because of the vulnerability of these patients to the resultant ischemic insults. Any change in the potentials requires an immediate response with improvement in blood pressure parameters.
并且使用巴比妥或丙泊酚降低血流被临时阻断后的脑组织代谢，将患者的血压升高基础值的20%左右。	Further, during the period of temporary clipping and anastomosis, the patient might be placed under metabolic burst suppression using barbiturates or Diprivan (propofol). The patient’s blood pressure should be increased approximately 20% above baseline during that time.
为了避免临时阻断时和吻合口发生血栓栓塞，在阻断血管3min前静脉注射2000-3000U肝素。	To avoid thromboembolic complications at the sites of anastomosis and temporary clipping, 2000 to 3000 units of heparin are administered intravenously 3 minutes before vascular occlusion.
患者取仰卧位，头架固定，头向对侧旋转30-45°，头顶稍微垂向地面以便吻合血管时借助重力作用清除术区的液体。	The patient is situated in the supine position, with the head immobilized in a skull clamp. The head is turned 30° to 45° toward the contralateral side. I tilt the vertex of the head slightly toward the floor to use gravity to clear away the operative field of fluids during the performance of anastomosis.
体位摆放完成后，微型多普勒定位STA主干及额、顶分支并做好标记。	After proper fixation, a miniDoppler probe is used for localization and marking of the route of the STA trunk and its frontal and parietal branches. The site is then properly prepared.
应避免局部注射肾上腺素/利多卡因以防供血动脉痉挛。	Local injections of xylocaine/adrenaline are avoided to prevent spasm of the STA and its branches.
术者取坐位，托手架安置双臂以减轻疲劳和手部震颤，舒适的体位有助于更好地施展显微操作。	I strongly recommend the sitting position for the surgeon and properly positioned armrests to avoid arm fatigue and hand tremor. These comfort measures advance the pleasure of performing microsurgery for me.
图2：患者头部头架固定，对侧偏45°左右，头顶稍微垂向地面。	Figure 2: The patient’s head is fixed in a skull clamp and rotated approximately 45 degrees toward the contralateral side; the vertex is tilted slightly toward the floor.
多普勒辅助下描记STA走形，并沿其途径设计切口。	Using a Doppler probe, the route of the STA is mapped and the incision over this route is marked.
动脉血流为搏动性，有别于周围持续性“嗡嗡”流动的静脉。	Care must be taken to differentiate the pulsating arterial flow from the surrounding continuous venous hum.
图3：手术切口一般起自颧弓根处的STA主干附近，然后沿顶支走形。	Figure 3: The incision typically extends from the origin of the STA trunk at the root of zygoma and along the course of its parietal branch.
偶然情况下，额支管径更粗，此时应沿额支设计弧形切口并将其分离出来。	Occasionally, the frontal branch is more dominant and a curvilinear incision is used and the donor frontal branch is harvested from underneath the scalp flap.
未完全游离或存在扭转的STA很容易出现闭塞，必须予以避免。	A generous piece of the artery should be targeted as stretched or twisted STAs carry a significant risk of occlusion.
分离STA分支	Harvesting the STA Branches(s)
STA若有损伤可能就无法供后续搭桥使用了，因此要在显微镜或头戴式放大镜下进行分离。	STA harvesting should be performed under magnification of the microscope or surgical loups to avoid injurious dissection, which could render the vessel not amenable for use.
切口起自颧弓水平的STA，沿顶支走形延伸至颞上线，锐性分离血管。	The incision is preferably commenced at the origin of the STA at the level of the zygoma and extended toward the superior temporal line along the course of the parietal branch using sharp dissection.
逆向游离STA技术操作相对简单，所以可以从切口远端向颧弓方向切开头皮。	However this dissection is technically easier if performed visa versa and I therefore, start the incision at its distal end and work toward the zygoma.
头皮不能切开太深以防误伤，	Early in dissection, the surgeon must take care not to incise deeply to avoid inadvertent injury to the vessel.
将一小丛结缔组织连同STA分离对于预防血管痉挛很重要。	Maintaining a connective cuff of tissue around the STA is key in avoiding subsequent vasospasm.
烧灼离断细小分支，避免撕裂血管。	The surrounding collaterals are carefully isolated, coagulated, and divided. Their avulsion injury must be avoided.
图4：切口沿STA设计，但超出STA远端。由预定切口的远端向近端切开头皮。	Figure 4: The initial incision may be conducted more distally along the length of the STA and carried proximally.
STA及其分支位于皮下组织层，未寻找到顶支之前，切忌切开过深以防误伤。	Before the parietal branch is identified, the surgeon must take care not to incise too deeply to avoid injuring the STA and its branches within their subcutaneous course.
而辨认顶支之后，使用蚊式钳轻柔地在血管表面做钝性分离，	After distal identification of the vessel, Mosquito clamps are used to gently and bluntly dissect over the vessel.
并抬起浅层的软组织方便安全切开。	Next, the clamp is used to elevate the superficial soft tissue layer away from the vessel while a knife is used to cut the superficial tissues.
重复上述步骤分离STA直至颧弓处。	These steps are repeated until the vessel is dissected close to the zygomatic arch.
图5：控制带套住STA、避免对其进行直接操作，可降低血管痉挛风险。	Figure 5: Vessel loops are used to handle the artery; its direct manipulation is avoided to prevent vasospasm.
颧弓根附近的STA主干走形迂曲，彻底将其松解有利于增加供血动脉的长度。	The length of the STA donor vessel may be slightly increased via further dissection around the tortuous STA trunk at the root of zygoma.
左图为使用缝线牵开头皮。	Sutures are used to mobilize and retract the scalp layers (left).
右图中清晰可见游离的STA仍有其他软组织附着，目的是为了保护血管。	Note that the soft tissues immediately around the STA are left intact to protect the vessel (right image).
分离STA时若有小的损伤出血，盲目烧灼并不可取，	In case of a minor injury to the vessel during dissection, blind coagulation of the wall should be avoided.
应该仔细寻找出血点，之后小棉片压迫，最终准确灼烧止血；	I identify the exact site of the bleeding and tamponade it using a small piece of cotton followed by precise coagulation of the bleeding site.
若破口比较大，可用10-0的线间断缝合。	In the case of a sizable defect in the STA’s lumen, interrupted 10.0 sutures may be used to repair the defect.
同时保留、游离STA额支作为备选，或者进行双重血管搭桥。	The frontal branch is not to be sacrificed and may be dissected as well, as an alternative choice, or for use in case of double-barrel bypass.
标记血管的上表面，以便后续移动、吻合血管时不会出现扭转。	The superior surface of the vessel should be marked to avoid its twisting during its mobilization and anastomosis.
保持游离血管的完整性，实施吻合之前再将其远端离断，因此，若术中无法找到足够管径的皮层动脉，还有机会行间接血流重建。	After the harvest is complete, the vessel and connective cuff are left intact or in continuity until it is time for anastomosis. The vessel is not usually disconnected distally until I am ready to perform the anastomosis. This technique provides an opportunity for an indirect bypass if an adequate cortical recipient vessel is not found.
图6：左图为STA全长被一片薄的异体硬脑膜或外科手套包裹，右图演示分离颞肌和切开颅骨时在包裹材料上缝合数针连同STA牵离术区。	Figure 6: I wrap the length of the vessel within a thin piece of allograft dura or surgical glove (left).  Next, retention sutures in the wrapping material mobilize the vessel away from my working zone during performance of the muscle dissection and craniotomy (right).
随后沿STA纵轴垂直切开颞肌，颞上线下缘做另一切口，分离颞肌充分暴露颅骨。	After retracting the vessel aside, a vertical incision is made into the temporalis muscle in line with the long axis of the STA, which is also mobilized to expose the temporal bone. Another incision within the muscle just inferior to the superior temporal line allows adequate mobilization of the muscle.
该步骤中，助手使用宽的牵开器保护STA。	The assistant protects the STA with a wide retractor blade.
以鳞状缝为中心取下直径6cm的骨瓣，意在暴露外侧裂。	Next, a craniotomy flap, 6cm in diameter, centered over the squamosal suture and exposing the Sylvian fissure is elevated.
解剖受血动脉	Dissection of the Recipient Artery
星形剪开硬膜充分显露大脑皮质，	A stellate dural opening provides adequate cortical exposure.
同时在近端STA附近纵行切开硬膜容纳供血动脉穿过。	A vertical dural incision is made at the root of the harvested STA to allow its transdural tunneling during closure.
每一步操作都必须彻底止血，为吻合血管营造洁净的术野。	Immaculate hemostasis at every step is critical to avoid run-in of blood during the anastomosis.
选取合适的MCA皮层支进行搭桥非常重要，	The proper choice of a cortical MCA branch for anastomosis is critically important.
选择标准包括血管的可及性、管径以及近远两端是否具有良好的血管床。	The selection criteria for this branch include its accessibility, caliber, as well as its apparent proximal and distal vascular beds.
一般情况下，理想的受血动脉是至少0.9mm粗的M3或M4。	In most cases, an M3 or M4 branch of about 0.9 mm or more in diameter is ideal.
如果STA比较大或者需要完全替代MCA的血流（高流量搭桥），M2是更合适的选择。	In case of a large STA or total replacement of MCA flow (high-flow bypass), an M2 branch may be the proper recipient choice.
位于发生过缺血事件和软化脑区的动脉苍白而扁平，应予以舍弃。	White and flattened arteries at areas of previous ischemic events and encephalomalacia should be avoided.
垂直外侧裂走形的受血动脉在进行吻合时工作角度更佳，推荐为首选。	I prefer to find the recipient vessel that is perpendicular to the Sylvian fissure as this working angle promotes easy suturing.
供血动脉远端要能够到达受血动脉并有些许剩余，以促进间接血管重建。	The location of the recipient vessel should allow the distal end of the donor vessel to reach for the anastomosis with some redundancy that can promote indirect revascularization.
确认受血动脉后，松解周围的蛛网膜粘连。	Once a suitable branch is identified, arachnoid adherences around the vessel are released.
调低双极的电凝功率，防止烧灼过程中出现误伤。	During any coagulation process, the electrocautery power should be reduced to avoid injury to the recipient cortical branch.
适当使用罂粟碱溶液冲洗术区预防、缓解血管痉挛。	I apply liberal amounts of papaverine solution to the field to avoid or relieve vasospasm.
测量游离的STA及其分支的长度，确保可以实现无张力吻合，如果过短，松解STA主干近端额外获得少许延长。	The length of the donor STA branch is measured with a ruler to ensure an appropriate length of the vessel for a tension-free anastomosis. If the STA branch appears too short, liberal dissection at the root of the STA will add an slight extension to the vessel.
STA的长度应该是既能满足无张力吻合，又不能过于冗长，否则搭桥开放后会引起STA扭转甚至血流中断。	Not only should anastomosis under tension be avoided, but a redundantly long vessel is also unwanted, as it may promote twisting and disruption of flow after the anastomosis is complete.
吻合血管之前，在受血动脉底面置入一块带颜色的橡胶垫片映衬几乎透明的中空血管。	Finally, a colored rubber dam is placed underneath the recipient vessel to aid with visualization of an almost transparent empty artery at the time of the anastomosis.
有时需要牺牲1-2根由游离受血动脉发出的小穿支以便这段血管可以在橡胶垫片上自由移动。	It may be necessary to sacrifice one or two small perforating arteries originating from the dissected segment of the recipient vessel to allow its mobilization over the rubber dam.
图7：完成开颅、确定合适的MCA分支作为受血动脉后，临时阻断夹夹闭近端STA，接着如图示去除其远端5-10mm范围内的结缔组织，斜行修剪断端或使其成“鱼嘴样”以增加吻合口面积。	Figure 7: After the craniotomy is performed and a suitable MCA recipient branch is identified, the proximal STA is clamped using a temporary clip, and the its distal end is divided and prepared for anastomosis as shown by removing the connective tissue off its terminal 5–10 mm end. The distal end of the donor vessel is cut obliquely or “fish mouthed,” allowing for an increased anastomotic surface
血管吻合	Anastomosis
短暂松开STA近端的阻断夹，清理管腔内的碎渣并用肝素盐水冲洗。	The aneurysm clip on the proximal STA is released momentarily to clear its lumen of debris and the vessel is flushed with heparinized saline.
图8：随后两个迷你夹阻断MCA皮层支，使用眼科海狸刀或钻石刀等若干刀片完成“钻石样”动脉造口，显微剪将其长度延伸至约为供血动脉远端断口的2-3倍，可剪取一段5mm长的量尺进行这些测量。	Figure 8: The cortical MCA branch is then temporarily clip occluded using two miniclips, and a diamond-shaped arteriotomy is completed using a number of different blades, including a beaver ophthalmic blade or diamond knife. This arteriotomy is then extended using microscissors to about 2–3 times the diameter of the distal end of the STA branch. A 5-mm segment of the ruler is cut and used for these measurements.
显微镊夹提血管时，只能夹管壁外层（动脉外膜），而不能是内层，否则会损伤内膜甚至导致动脉夹层。	When I use the microforceps to handle the donor and recipient vessel walls, I am careful to apply traction only on the outer wall layers (adventitia) rather than the inner layers, which would result in intimal injury and possibly intimal dissection.
肝素盐水间断冲洗管腔预防临时阻断相关的血栓栓塞。	The lumen is periodically irrigated with heparinized saline as a precaution against thromboembolic consequences of clamping.
图9：演示吻合开始时的足跟、趾头对拢。	Figure 9: The initial heel and toe sutures of the anastomosis are illustrated.
使用9-0或者10-0的不可吸收线，先足跟部后趾头部将STA远端缝合至受血动脉的相应部位。	Using 9-0 or 10-0 nonabsorbable sutures, the heel followed by the toe of the distal end of the STA is sutured to the complementary ends of the recipient artery.
缝针由外向内穿入STA，由内向外穿出受血的MCA分支。	The sutures are placed from an outside-to-inside direction in the STA and an inside-to-outside direction on the recipient MCA branch.
最后，10-0的缝线间断缝合跟、趾两线之间的端-侧吻合口。	Finally, interrupted 10-0 sutures complete the end-to-side anastomosis of the STA to the MCA arteriotomy between the two initial heel and toe sutures.
吻合口的侧边要么用2根缝线连续缝合，要么间断缝合8-10针。	The sides of the anastomosis are secured using either two running sutures or eight to ten interrupted sutures, starting with the less accessible side first.
先吻合操作难度大的一侧，所以在闭合对侧之前可以从管腔内检查该侧的吻合情况。	This method allows examination of the arteriotomy closure from inside the vessel lumen before closure of the opposite side.
若采用连续缝合技术，使线圈保持松弛直至最末一针穿出以及肝素盐水再次冲洗，随后将其理顺依次抽紧并打结。	If the running suture technique is employed, the running ties are left loose until the final tie is placed and the vessel is flushed with heparinized saline; only then are the sutures tightened and the final knot created.
图10：应谨记缝针的穿行顺序：在供血动脉为由外向内，受血动脉则相反。	Figure 10: Care should be taken to suture the donor vessel from outside to inside and vice versa on the recipient vessel.
如果采用的是间断缝合技术，完成最后一针之前冲洗管腔。	If the interrupted suture technique is used, flushing is done before the final tie is placed.
注意保持缝针始终与动脉壁垂直以免线孔过大和戳裂管壁。	The needle should be turned during its passage through the walls of the vessels to avoid creation of large suture holes and tearing.
受血动脉上大的破口不可被埋藏于缝线内否则会造成吻合口狭窄。	Large bites of the walls of the recipient artery should not be incorporated into the suture line as this will lead to stenosis at the site of the anastomosis.
即使是很轻柔的动作，显微镊也容易扯断10-0的缝线，因此只有缝针可以被夹取。	Only the needle is manipulated, and the suture is left untouched because 10-0 sutures are prone to fracture with minimal manipulation by the forceps.
直视下穿入、穿出缝针，盲目操作可能会同时穿透受血动脉的两壁引起闭塞，必须予以禁止。	The needle is passed through the walls under direct vision, and blind insertion is strictly avoided because this will lead to inadvertent incorporation of both walls of the recipient vessel and its occlusion.
吻合结束后移除阻断夹，顺序是：先MCA远端，其次MCA近端，最终STA近端。	After completion of the anastomosis, the clips are removed in an orderly fashion, starting with the distal MCA, followed by the proximal MCA clip, and finally the proximal STA clip.
若吻合口处有小的出血，使用可吸收性止血纱或其他止血材料轻轻压塞足以控制。	Minor leaks along the anastomosis can be easily controlled with gentle tamponade using absorbable Surgicel or other hemostatic agents.
如果是比较严重的出血就需要重新阻断血管来缝合漏口。	If significant leakage is evident, an additional suture may be placed after reinstallment of the clips.
关颅前，使用微型多普勒和/或荧光血管造影评估搭桥血流。	Before closure, the anastomosis is assessed using a microDoppler probe and/or fluorescence videoangiography.
无法确定吻合的质量时也可以行术中造影证实。	Intraoperative angiography may also be performed if the quality of the anastomosis remains in doubt.
图11：STA-MCA搭桥时，采用连续缝合技术可能会有缝线在吻合口内侧缠结，间断缝合则可以降低该风险，	Figure 11: I prefer the use of interrupted sutures during the STA-MCA revascularization to minimize the risk of kinking within the anastomosis, which is possible with a running-suturing technique.
但是完成吻合的时间要延长，个人倾向选择后者。	However, the interrupted technique requires a longer period of clamping for its execution.
切记供血动脉必须是没有张力和扭转存在。	The donor vessel should lay on the brain surface under no tension and remain untwisted.
如果搭桥不通畅就要怀疑是否存在吻合口阻塞。	If graft patency is not apparent, occlusion of the anastomosis site is suspected.
剪开一侧的缝线，移除管腔内的血凝块，	We reopen one side of the suture line and remove the clot in the lumen of the vessels.
暂时性的供血动脉出血可以被接受。	The donor vessel is allowed to bleed for short period.
然后肝素盐水冲刷所有血管，再封闭吻合口。	Heparin irrigation is used to flush all of the vessels and the suture line is reconstructed.
如果仍然不通畅，只要STA还能使用，就可以选取另外一根受血动脉重新搭桥。	If this maneuver is not effective, another recipient vessel may be selected and the procedure repeated as long as the STA is functional.
不同于常规的关颅方式，此时，应使硬膜切口的下缘保持开放免得引起STA狭窄。	Unlike the conventional craniotomy closure, the inferior margin of the dural opening is not closed in order to avoid STA stenosis.
针对Moyamoya患者，翻转硬膜并用骨膜或者肌肉瓣替代，以便促进新生血管形成。	In addition, for patients with Moyamoya disease, the dural flap may be reversed and replaced by a periosteal or muscular flap to enhance neovascularization.
同理，裁剪骨瓣下缘，并且不能对合STA在颞肌的穿行部位。	Similarly, the bone flap is trimmed at its inferior margin, and the temporalis muscle is not approximated near the entry site of the STA branch.
最后，仔细缝合皮肤，切记不可损伤下方的STA。	Finally, the skin closure is completed with meticulous care to avoid any injury to the underlying donor vessel.
浅层的缝线过密可能会导致皮肤开裂和伤口感染，也要予以避免。	However, placement of excessively superficial sutures, which may result in skin dehiscence and wound infection, should be avoided.
不可加压包扎头部，术后早期嘱咐患者休息时不要压迫术侧。	A noncompressive head bandage is applied and the patient should avoid sleeping on the side of the anastomosis for the first few days after surgery.
术后24-48h内入ICU，严密监测任何血管痉挛或脑缺血的征象。	Careful observation in the intensive care unit for any signs of underlying vasospasm or ischemia during the first 24 to 48 hours after surgery is recommended.
每日使用床旁经皮微型多普勒设备观察STA的搏动。	The STA pulse is monitored daily using a bedside transcutaneous microDoppler device.
术后即刻维持血压于基础值或稍高水平（一般是110-140mmHg）。	Blood pressure should be maintained within each patient’s normotensive or slightly hypertensive level (typically 110–140 mm Hg) immediately after surgery.
患者继续终身服用阿司匹林。	Aspirin is continued indefinitely.
加强伤口管理可以预防伤口裂开和感染。	Adequate wound care is vital to avoid dehiscence and wound infection.
图12：患者出院后定期随诊复查导管造影或者CTA来评价搭桥的通畅性。	Figure 12: Graft patency is assessed during subsequent follow-up exams after discharge using conventional angiography or CTA.
此例行左侧STA-MCA搭桥的患者其桥血管保持畅通（右图为三维重建影像）。	In this angiogram, the left STA-MCA bypass is patent (three-dimensional reconstruction image, right).
对于Moyamoya病或术前血流动力学代偿能力所剩无几的患者，术后常有一过性神经功能恶化，而且影像学检查可以无异常。	It is not unusual for patients with Moyamoya disease and minimal hemodynamic reserve to neurologically worsen temporarily during the postoperative period, even in the absence of any obvious imaging findings.
这个现象反映了即便是做到仔细监测、术中稍微上调血压等措施，灌注已相当微弱的大脑半球也非常容易发生小的缺血事件。	This phenomenon reflects the remarkably tenuous perfusion status of their hemisphere, prone to minor ischemic events despite carefully monitored and slightly hypertensive intraoperative measures.
间接搭桥	Indirect Bypass
有些患者没有足够管径的供血、受血动脉进行直接搭桥，还有些患者之前已经做过搭桥手术再无合适的血管。	Some patients do not have donor and recipient vessels of appropriate size for direct revascularization.  In addition, some patients have gone previous revascularization procedures and therefore do not harbor suitable vessels.
此时，可以实施间接血管重建，包括脑-硬膜-动脉-血管连通术（EDAS）、脑-肌血管连通术、颅骨膜贴附和带蒂大网膜移植等。	In these circumstances, I employ indirect revascularization techniques including encephaloduroarteriosynangiosis (EDAS), encephalomyosynangiosis, pericranium onlay and pedicled omental transposition.
随后，新生血管的形成将为低灌注的脑组织提供相当可观的血流量。	Delayed neovascularization leads to impressive blood flow to the hypoperfused hemispheres.
如果EDAS不可行，颞肌和骨膜敷贴是合理的替代方案。	If EDAS is not feasible, onlay of the temporalis muscle and pericranium are reasonable alternatives.
脑-硬膜-动脉-血管连通术	Encephaloduroarteriosynangiosis
手术起始步骤也是游离STA、显露脑组织，方法同前述的直接搭桥。	The initial steps of the operation regarding the STA harvest and exposure are the same as the direct bypass procedure discussed above.
注意不要离断STA远端，并连同部分软组织一起做分离。	The STA is not disconnected and a wide soft tissue cuff is maintained along the STA.
切开硬膜，接着广泛松解覆盖于包括外侧裂在内脑沟的蛛网膜。	After the dura is incised, the arachnoid layers covering the sulci including the sylvian fissure are widely opened.
随后把游离的STA与附着的软组织袖带放置于脑表面，	Next, the STA and soft tissue cuff are placed over the exposed brain surface.
撕裂蛛网膜带可以促进新生血管从STA及其附着物长出。	Stripping the arachnoid bands promotes ingrowth of neovascularization from the STA and soft tissue cuff.
有些外科医师会将STA和下方的脑组织用10-0的软膜缝线缝合数针确保两者接触良好。	Some colleagues tack the STA cuff to the underlying brain using 10-0 pial sutures to maintain direct tissue apposition.
